language_id,language_code,language_name
296,aog,angoram
297,aoh,arma
298,aoi,anindilyakwa
299,aoj,mufian
300,aok,arhö
301,aol,alor
302,aom,ömie
303,aon,"arapesh, bumbita"
304,aor,aore
305,aos,taikat
306,aot,atong
307,aou,a’ou
308,aox,atorada
309,aoz,uab meto
310,apb,sa’a
311,apc,"arabic, north levantine spoken"
312,apd,"arabic, sudanese spoken"
313,ape,bukiyip
314,apf,"agta, pahanan"
315,apg,ampanang
316,aph,athpariya
317,api,apiaká
318,apj,"apache, jicarilla"
319,apk,"apache, kiowa"
320,apl,"apache, lipan"
321,apm,"apache, mescalero-chiricahua"
322,apn,apinayé
323,apo,ambul
324,app,apma
325,apq,a-pucikwar
326,apr,arop-lokep
327,aps,arop-sissano
328,apt,apatani
329,apu,apurinã
330,apw,"apache, western"
331,apx,aputai
332,apy,apalaí
333,apz,safeyoka
334,aqc,archi
335,aqd,"dogon, ampari"
336,aqg,arigidi
337,aqm,atohwaim
338,aqn,"alta, northern"
339,aqr,arhâ
340,aqt,angaité
341,aqz,akuntsu
342,arb,"arabic, standard"
343,ard,arabana
344,are,"arrarnta, western"
345,arg,aragonese
346,arh,arhuaco
347,ari,arikara
348,arj,arapaso
349,ark,arikapú
350,arl,arabela
351,arn,mapudungun
352,aro,araona
353,arp,arapaho
354,arq,"arabic, algerian spoken"
355,arr,karo
356,ars,"arabic, najdi spoken"
357,arv,arbore
358,arw,arawak
359,arx,aruá
360,ary,"arabic, moroccan spoken"
361,arz,"arabic, egyptian spoken"
362,asa,asu
363,asb,assiniboine
364,asc,"asmat, casuarina coast"
365,asd,asas
366,ase,american sign language
367,asf,auslan
368,asg,cishingini
369,ash,awishira
370,asi,buruwai
371,asj,sari
372,ask,ashkun
373,asl,asilulu
374,asm,assamese
375,asn,asurini of xingú
376,aso,dano
377,asp,algerian sign language
378,asq,austrian sign language
379,asr,asuri
380,ass,ipulo
381,ast,asturian
382,asu,"asurini, tocantins"
383,asv,asoa
384,asw,australian aborigines sign language
385,asx,muratayak
386,asy,"asmat, yaosakor"
387,asz,as
388,ata,pele-ata
389,atb,zaiwa
390,atd,"manobo, ata"
391,ate,mand
392,atg,ivbie north-okpela-arhe
393,ati,attié
394,atj,atikamekw
395,atk,ati
396,atl,"agta, mt. iraya"
397,atm,ata
398,atn,ashtiani
399,ato,atong
400,atp,"atta, pudtol"
401,atq,aralle-tabulahan
402,atr,waimiri-atroarí
403,ats,gros ventre
404,att,"atta, pamplona"
405,atu,reel
406,atv,"altai, northern"
407,atw,atsugewi
408,atx,arutani
409,aty,aneityum
410,atz,arta
411,aua,asumboa
412,aub,alugu
413,auc,waorani
414,aud,anuta
415,aug,aguna
416,auh,aushi
417,aui,anuki
418,auj,awjilah
419,auk,heyo
420,aul,aulua
421,aum,asu
422,aun,"one, molmo"
423,aup,makayam
424,auq,anus
425,aur,aruek
426,aut,austral
427,auu,auye
428,auw,awyi
429,aux,aurá
430,auy,awiyaana
431,auz,"arabic, uzbeki spoken"
432,ava,avar
433,avb,avau
434,avd,alviri-vidari
435,ave,avestan
436,avi,avikam
437,avl,"arabic, eastern egyptian bedawi spoken"
438,avm,angkamuthi
439,avn,avatime
440,avo,agavotaguerra
441,avs,aushiri
442,avt,au
443,avu,avokaya
444,avv,avá-canoeiro
445,awa,awadhi
446,awb,awa
447,awc,cicipu
448,awe,awetí
449,awg,anguthimri
450,awh,awbono
451,awi,aekyom
452,awk,awabakal
453,awm,arawum
454,awn,awngi
455,awo,awak
456,awr,awera
457,aws,"awyu, south"
458,awt,araweté
459,awu,"awyu, central"
460,awv,"awyu, jair"
461,aww,awun
462,awx,awara
463,awy,"awyu, edera"
464,axe,ayerrerenge
465,axg,"arára, mato grosso"
466,axk,yaka
467,axl,"aranda, lower southern"
468,axx,xârâgurè
469,aya,awar
470,ayb,"gbe, ayizo"
471,ayc,"aymara, southern"
472,ayd,ayabadhu
473,aye,ayere
474,ayg,ginyanga
475,ayh,"arabic, hadrami spoken"
476,ayi,leyigha
477,ayk,akuku
478,ayl,"arabic, libyan spoken"
479,ayn,"arabic, sanaani spoken"
480,ayo,ayoreo
481,ayp,"arabic, north mesopotamian spoken"
482,ayq,ayi
483,ayr,"aymara, central"
484,ays,"ayta, sorsogon"
485,ayt,"ayta, magbukun"
486,ayu,ayu
487,ayy,"ayta, tayabas"
488,ayz,mai brat
489,aza,azha
490,azb,"azerbaijani, south"
491,azd,"nahuatl, eastern durango"
492,azg,"amuzgo, san pedro amuzgos"
493,azj,"azerbaijani, north"
494,azm,"amuzgo, ipalapa"
495,azn,"nahuatl, western durango"
496,azo,awing
497,azt,"atta, faire"
498,azz,"nahuatl, highland puebla"
499,baa,babatana
500,bab,bainouk-gunyuño
501,bac,badui
502,bae,baré
503,baf,nubaca
504,bag,tuki
505,bah,bahamas creole english
506,baj,barakai
507,bak,bashkort
508,bam,bamanankan
509,ban,bali
510,bao,waimaha
511,bap,bantawa
512,bar,bavarian
513,bas,basaa
514,bau,mbat
515,bav,vengo
516,baw,bambili-bambui
517,bax,bamun
518,bay,batuley
519,bba,baatonum
520,bbb,barai
521,bbc,batak toba
522,bbd,bau
523,bbe,bangba
524,bbf,baibai
525,bbg,barama
526,bbh,bugan
527,bbi,barombi
528,bbj,ghomálá’
529,bbk,babanki
530,bbl,bats
531,bbm,babango
532,bbn,uneapa
533,bbo,konabéré
534,bbp,"banda, west central"
535,bbq,bamali
536,bbr,girawa
537,bbs,bakpinka
538,bbt,mburku
539,bbu,kulung
540,bbv,karnai
541,bbw,supapya
542,bbx,bubia
543,bby,befang
544,bbz,"arabic, babalia creole"
545,bca,"bai, central"
546,bcb,bainouk-samik
547,bcc,"balochi, southern"
548,bcd,"babar, north"
549,bce,bamenyam
550,bcf,bamu
551,bcg,baga pokur
552,bch,bariai
553,bci,baoulé
554,bcj,bardi
555,bck,bunaba
556,bcl,"bikol, central"
557,bcm,bannoni
558,bcn,bali
559,bco,kaluli
560,bcp,bali
561,bcq,bench
562,bcr,babine
563,bcs,kohumono
564,bct,bendi
565,bcu,awad bing
566,bcv,shoo-minda-nye
567,bcw,bana
568,bcy,bacama
569,bcz,bainouk-gunyaamolo
570,bda,bayot
571,bdb,basap
572,bdc,emberá-baudó
573,bdd,bunama
574,bde,bade
575,bdf,biage
576,bdg,bonggi
577,bdh,baka
578,bdi,burun
579,bdj,bai
580,bdk,budukh
581,bdl,"bajau, indonesian"
582,bdm,buduma
583,bdn,baldemu
584,bdo,morom
585,bdp,bende
586,bdq,bahnar
587,bdr,"bajau, west coast"
588,bds,burunge
589,bdt,bhogoto
590,bdu,oroko
591,bdv,bodo parja
592,bdw,baham
593,bdx,budong-budong
594,bdy,bandjalang
595,bdz,badeshi
596,bea,beaver
597,beb,bebele
598,bec,iceve-maci
599,bed,bedoanas
600,bee,byangsi
601,bef,benabena
602,beg,belait
603,beh,biali
604,bei,bakati’
605,bej,bedawiyet
606,bek,bebeli
607,bel,belarusian
608,bem,bemba
609,ben,bengali
610,beo,beami
611,bep,behoa
612,beq,beembe
613,bes,besme
614,bet,"bété, guiberoua"
615,beu,blagar
616,bev,"bété, daloa"
617,bew,betawi
618,bex,jur modo
619,bey,beli
620,bez,bena
621,bfa,bari
622,bfb,"bareli, pauri"
623,bfc,"bai, panyi"
624,bfd,bafut
625,bfe,betaf
626,bff,bofi
627,bfg,"kayan, busang"
628,bfh,blafe
629,bfi,british sign language
630,bfj,bafanji
631,bfk,ban khor sign language
632,bfl,banda-ndélé
633,bfm,mmen
634,bfn,bunak
635,bfo,"birifor, malba"
636,bfp,beba
637,bfq,badaga
638,bfr,bazigar
639,bfs,"bai, southern"
640,bft,balti
641,bfu,gahri
642,bfw,bondo
