lang_code,lang_name,lang_code_alias,lang_id
cbv,Cacua,cbv,100182
cce,Chopi,cce,100183
cco,"Chinantec, Comaltepec",cco,100184
cdj,Churahi,cdj,100185
ceb,Cebuano,ceb,100186
ceg,Chamacoco,ceg,100187
cek,"Chin, Eastern Khumi",cek,100188
ces,Czech,ces,100189
cfm,"Chin, Falam",cfm,100190
cgc,Kagayanen,cgc,100191
che,Chechen,che,100192
chf,"Chontal, Tabasco",chf,100193
chv,Chuvash,chv,100194
chz,"Chinantec, Ozumacín",chz,100195
cjo,"Ashéninka, Pajonal",cjo,100196
cjp,Cabécar,cjp,100197
cjs,Shor,cjs,100198
ckb,"Kurdish, Central",ckb,100199
cko,Anufo,cko,100200
ckt,Chukchi,ckt,100201
cla,Ron,cla,100202
cle,"Chinantec, Lealao",cle,100203
cly,"Chatino, Eastern Highland",cly,100204
cme,Cerma,cme,100205
cmn-script_simplified,"Chinese, Mandarin",cmn-script_simplified,100206
cmo-script_khmer,"Mnong, Central",cmo-script_khmer,100207
cmo-script_latin,"Mnong, Central",cmo-script_latin,100208
cmr,Mro-Khimi,cmr,100209
cnh,"Chin, Hakha",cnh,100210
cni,Asháninka,cni,100211
cnl,"Chinantec, Lalana",cnl,100212
cnt,"Chinantec, Tepetotutla",cnt,100213
coe,Koreguaje,coe,100214
cof,Tsafiki,cof,100215
cok,"Cora, Santa Teresa",cok,100216
con,Cofán,con,100217
cot,Caquinte,cot,100218
cou,Wamey,cou,100219
cpa,"Chinantec, Palantla",cpa,100220
cpb,"Ashéninka, Ucayali-Yurúa",cpb,100221
cpu,"Ashéninka, Pichis",cpu,100222
crh,Crimean Tatar,crh,100223
crk-script_latin,"Cree, Plains",crk-script_latin,100224
crk-script_syllabics,"Cree, Plains",crk-script_syllabics,100225
crn,"Cora, El Nayar",crn,100226
crq,"Chorote, Iyo’wujwa",crq,100227
crs,Seychelles French Creole,crs,100228
crt,"Chorote, Iyojwa’ja",crt,100229
csk,Jola-Kasa,csk,100230
cso,"Chinantec, Sochiapam",cso,100231
ctd,"Chin, Tedim",ctd,100232
ctg,Chittagonian,ctg,100233
cto,Embera Catío,cto,100234
ctu,Chol,ctu,100235
cuc,"Chinantec, Usila",cuc,100236
cui,Cuiba,cui,100237
cuk,"Kuna, San Blas",cuk,100238
cul,Kulina,cul,100239
cwa,Kabwa,cwa,100240
cwe,Kwere,cwe,100241
cwt,Kuwaataay,cwt,100242
cya,"Chatino, Nopala",cya,100243
cym,Welsh,cym,100244
daa,Dangaléat,daa,100245
dah,Gwahatike,dah,100246
dan,Danish,dan,100247
dar,Dargwa,dar,100248
dbj,Ida’an,dbj,100249
dbq,Daba,dbq,100250
ddn,Dendi,ddn,100251
ded,Dedua,ded,100252
des,Desano,des,100253
deu,"German, Standard",deu,100254
dga,"Dagaare, Southern",dga,100255
dgi,"Dagara, Northern",dgi,100256
dgk,Dagba,dgk,100257
dgo,Dogri,dgo,100258
dgr,Tlicho,dgr,100259
dhi,Dhimal,dhi,100260
did,Didinga,did,100261
dig,Chidigo,dig,100262
dik,"Dinka, Southwestern",dik,100263
dip,"Dinka, Northeastern",dip,100264
div,Maldivian,div,100265
djk,Aukan,djk,100266
dnj-dialect_blowowest,Dan,dnj-dialect_blowowest,100267
dnj-dialect_gweetaawueast,Dan,dnj-dialect_gweetaawueast,100268
dnt,"Dani, Mid Grand Valley",dnt,100269
dnw,"Dani, Western",dnw,100270
dop,Lukpa,dop,100271
dos,Dogosé,dos,100272
dsh,Daasanach,dsh,100273
dso,Desiya,dso,100274
dtp,Kadazan Dusun,dtp,100275
dts,"Dogon, Toro So",dts,100276
dug,Chiduruma,dug,100277
dwr,Dawro,dwr,100278
dyi,"Sénoufo, Djimini",dyi,100279
dyo,Jola-Fonyi,dyo,100280
dyu,Jula,dyu,100281
dzo,Dzongkha,dzo,100282
eip,Lik,eip,100283
eka,Ekajuk,eka,100284
ell,Greek,ell,100285
emp,"Emberá, Northern",emp,100286
enb,Markweeta,enb,100287
eng,English,eng,100288
enx,Enxet,enx,100289
epo,Esperanto,epo,100290
ese,Ese Ejja,ese,100291
ess,"Yupik, Saint Lawrence Island",ess,100292
est,Estonian,est,100293
eus,Basque,eus,100294
evn,Evenki,evn,100295
ewe,Éwé,ewe,100296
eza,Ezaa,eza,100297
fal,"Fali, South",fal,100298
fao,Faroese,fao,100299
far,Fataleka,far,100300
fas,Persian,fas,100301
fij,Fijian,fij,100302
fin,Finnish,fin,100303
flr,Fuliiru,flr,100304
fmu,"Muria, Far Western",fmu,100305
fon,Fon,fon,100306
fra,French,fra,100307
frd,Fordata,frd,100308
fry,Frisian,fry,100309
ful,Fulah,ful,100310
gag-script_cyrillic,Gagauz,gag-script_cyrillic,100311
gag-script_latin,Gagauz,gag-script_latin,100312
gai,Mbore,gai,100313
gam,Kandawo,gam,100314
gau,"Gadaba, Mudhili",gau,100315
gbi,Galela,gbi,100316
gbk,Gaddi,gbk,100317
gbm,Garhwali,gbm,100318
gbo,"Grebo, Northern",gbo,100319
gde,Gude,gde,100320
geb,Kire,geb,100321
gej,Gen,gej,100322
gil,Kiribati,gil,100323
gjn,Gonja,gjn,100324
gkn,Gokana,gkn,100325
gld,Nanai,gld,100326
gle,Irish,gle,100327
glg,Galician,glg,100328
glk,Gilaki,glk,100329
gmv,Gamo,gmv,100330
gna,Kaansa,gna,100331
gnd,Zulgo-Gemzek,gnd,100332
gng,Ngangam,gng,100333
gof-script_latin,Gofa,gof-script_latin,100334
gog,Gogo,gog,100335
gor,Gorontalo,gor,100336
gqr,Gor,gqr,100337
grc,"Greek, Ancient",grc,100338
gri,Ghari,gri,100339
grn,Guarani,grn,100340
grt,Garo,grt,100341
gso,"Gbaya, Southwest",gso,100342
gub,Guajajára,gub,100343
guc,Wayuu,guc,100344
gud,"Dida, Yocoboué",gud,100345
guh,Guahibo,guh,100346
guj,Gujarati,guj,100347
guk,Gumuz,guk,100348
gum,Misak,gum,100349
guo,Guayabero,guo,100350
guq,Aché,guq,100351
guu,Yanomamö,guu,100352
gux,Gourmanchéma,gux,100353
gvc,Wanano,gvc,100354
gvl,Gulay,gvl,100355
gwi,Gwich’in,gwi,100356
gwr,Gwere,gwr,100357
gym,Ngäbere,gym,100358
gyr,Guarayu,gyr,100359
had,Hatam,had,100360
hag,Hanga,hag,100361
hak,"Chinese, Hakka",hak,100362
hap,Hupla,hap,100363
hat,Haitian Creole,hat,100364
hau,Hausa,hau,100365
hay,Haya,hay,100366
heb,Hebrew,heb,100367
heh,Hehe,heh,100368
hif,"Hindi, Fiji",hif,100369
hig,Kamwe,hig,100370
hil,Hiligaynon,hil,100371
hin,Hindi,hin,100372
hlb,Halbi,hlb,100373
hlt,"Chin, Matu",hlt,100374
hne,Chhattisgarhi,hne,100375
hnn,Hanunoo,hnn,100376
hns,"Hindustani, Sarnami",hns,100377
hoc,Ho,hoc,100378
hoy,Holiya,hoy,100379
hrv,Croatian,hrv,100380
hsb,"Sorbian, Upper",hsb,100381
hto,"Witoto, Minika",hto,100382
hub,Wampís,hub,100383
hui,Huli,hui,100384
hun,Hungarian,hun,100385
hus-dialect_centralveracruz,Huastec,hus-dialect_centralveracruz,100386
hus-dialect_westernpotosino,Huastec,hus-dialect_westernpotosino,100387
huu,"Witoto, Murui",huu,100388
huv,"Huave, San Mateo del Mar",huv,100389
hvn,Hawu,hvn,100390
hwc,Hawaii Pidgin,hwc,100391
hye,Armenian,hye,100392
hyw,"Armenian, Western",hyw,100393
iba,Iban,iba,100394
ibo,Igbo,ibo,100395
icr,Islander English Creole,icr,100396
idd,Ede Idaca,idd,100397
ifa,"Ifugao, Amganad",ifa,100398
ifb,"Ifugao, Batad",ifb,100399
ife,Ifè,ife,100400
ifk,"Ifugao, Tuwali",ifk,100401
ifu,"Ifugao, Mayoyao",ifu,100402
ify,"Kallahan, Keley-i",ify,100403
ign,Ignaciano,ign,100404
ikk,Ika,ikk,100405
ilb,Ila,ilb,100406
ilo,Ilocano,ilo,100407
imo,Imbongu,imo,100408
ina,Interlingua (International Auxiliary Language Association),ina,100409
inb,Inga,inb,100410
ind,Indonesian,ind,100411
iou,Tuma-Irumu,iou,100412
ipi,Ipili,ipi,100413
iqw,Ikwo,iqw,100414
iri,Rigwe,iri,100415
irk,Iraqw,irk,100416
isl,Icelandic,isl,100417
ita,Italian,ita,100418
itl,Itelmen,itl,100419
itv,Itawit,itv,100420
ixl-dialect_sangasparchajul,Ixil,ixl-dialect_sangasparchajul,100421
ixl-dialect_sanjuancotzal,Ixil,ixl-dialect_sanjuancotzal,100422
ixl-dialect_santamarianebaj,Ixil,ixl-dialect_santamarianebaj,100423
izr,Izere,izr,100424
izz,Izii,izz,100425
jac,Jakalteko,jac,100426
jam,Jamaican English Creole,jam,100427
jav,Javanese,jav,100428
jbu,Jukun Takum,jbu,100429
jen,Dza,jen,100430
jic,Tol,jic,100431
jiv,Shuar,jiv,100432
jmc,Machame,jmc,100433
jmd,Yamdena,jmd,100434
jpn,Japanese,jpn,100435
jun,Juang,jun,100436
juy,Juray,juy,100437
jvn,"Javanese, Suriname",jvn,100438
kaa,Karakalpak,kaa,100439
kab,Amazigh,kab,100440
kac,Jingpho,kac,100441
kak,Kalanguya,kak,100442
kam,Kamba,kam,100443
kan,Kannada,kan,100444
kao,Xaasongaxango,kao,100445
kaq,Capanahua,kaq,100446
kat,Georgian,kat,100447
kay,Kamayurá,kay,100448
kaz,Kazakh,kaz,100449
kbo,Keliko,kbo,100450
kbp,Kabiyè,kbp,100451
kbq,Kamano,kbq,100452
kbr,Kafa,kbr,100453
kby,"Kanuri, Manga",kby,100454
kca,Khanty,kca,100455
kcg,Tyap,kcg,100456
kdc,Kutu,kdc,100457
kde,Makonde,kde,100458
kdh,Tem,kdh,100459
kdi,Kumam,kdi,100460
kdj,Ng’akarimojong,kdj,100461
kdl,Tsikimba,kdl,100462
kdn,Kunda,kdn,100463
kdt,Kuay,kdt,100464
kea,Kabuverdianu,kea,100465
kek,Q’eqchi’,kek,100466
ken,Kenyang,ken,100467
keo,Kakwa,keo,100468
ker,Kera,ker,100469
key,Kupia,key,100470
kez,Kukele,kez,100471
kfb,"Kolami, Northwestern",kfb,100472
kff-script_telugu,Koya,kff-script_telugu,100473
kfw,"Naga, Kharam",kfw,100474
kfx,"Pahari, Kullu",kfx,100475
khg,"Tibetan, Khams",khg,100476
khm,Khmer,khm,100477
khq,"Songhay, Koyra Chiini",khq,100478
kia,Kim,kia,100479
kij,Kilivila,kij,100480
kik,Gikuyu,kik,100481
kin,Kinyarwanda,kin,100482
kir,Kyrgyz,kir,100483
kjb,Q’anjob’al,kjb,100484
kje,Kisar,kje,100485
kjg,Khmu,kjg,100486
kjh,Khakas,kjh,100487
kki,Kagulu,kki,100488
kkj,Kako,kkj,100489
kle,Kulung,kle,100490
klu,Klao,klu,100491
klv,Maskelynes,klv,100492
klw,Tado,klw,100493
kma,Konni,kma,100494
kmd,"Kalinga, Majukayang",kmd,100495
kml,"Kalinga, Tanudan",kml,100496
kmr-script_arabic,"Kurdish, Northern",kmr-script_arabic,100497
kmr-script_cyrillic,"Kurdish, Northern",kmr-script_cyrillic,100498
kmr-script_latin,"Kurdish, Northern",kmr-script_latin,100499
kmu,Kanite,kmu,100500
knb,"Kalinga, Lubuagan",knb,100501
kne,Kankanaey,kne,100502
knf,Mankanya,knf,100503
knj,Akateko,knj,100504
knk,Kuranko,knk,100505
kno,Kono,kno,100506
kog,Kogi,kog,100507
kor,Korean,kor,100508
kpq,Korupun-Sela,kpq,100509
kps,Tehit,kps,100510
kpv,Komi-Zyrian,kpv,100511
kpy,Koryak,kpy,100512
