language_code,language_name,script_direction,metadata
lau,Laba,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Kedi"", ""South Loloda""]}"
law,Lauje,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Laudje"", ""Tinombo"", ""Ampibabo (Ampibabo-Lauje)""]}"
lax,Tiwa,left-to-right,"{""region"": ""India, Asia"", ""alternate-names"": [""Dowyan"", ""Lalung""]}"
lay,Lama Bai,left-to-right,"{""region"": ""China, Asia"", ""alternate-names"": [""Lan-Bi Bai"", ""Northern Bai""]}"
laz,Aribwatsa,,{}
lba,Lui,,"{""description"": ""Deprecated from 2019-04-16. ""}"
lbb,Label,left-to-right,"{""region"": ""Papua New Guinea, Pacific""}"
lbc,Lakkia,left-to-right,"{""region"": ""China, Asia"", ""alternate-names"": [""Chashan Yao"", ""Lajia"", ""Laka"", ""Lakia"", ""Lakja"", ""Lakkja"", ""Tai Laka"", ""Tea Mountain Yao""]}"
lbe,Lak,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Kazikumukhtsy"", ""Laki"", ""Vicxin (Vitskhin)"", ""Arakul"", ""Vixlin (Vikhlin)"", ""Shandi"", ""Shali"", ""Pervotsovkrin"", ""Kumux (Kumkh)"", ""Kayalin-Mashikin"", ""Balxar-Calakan (Balkar-Tsalakan)""]}"
lbf,Tinani,left-to-right,"{""region"": ""India, Asia"", ""alternate-names"": [""Bhotia of Lahul"", ""Gondla"", ""Lahauli"", ""Lahuli Tinan"", ""Rangloi"", ""Gondhla"", ""Lahuli"", ""Teenan"", ""Tinan Lahuli""]}"
lbg,Laopang,left-to-right,"{""region"": ""Lao People's Democratic Republic, Asia"", ""alternate-names"": [""Laopa""]}"
lbi,La'bi,left-to-right,"{""region"": ""Cameroon, Africa""}"
lbj,Ladakhi,left-to-right,"{""region"": ""India, Asia"", ""alternate-names"": [""Ladak"", ""Ladaphi"", ""Ladhakhi"", ""Ladwags"", ""Ladakh Skat"", ""Sham"", ""Shamma (Lower Ladakhi)"", ""Shamskat"", ""Leh (Central Ladakhi)""]}"
lbk,Central Bontok,left-to-right,"{""macrolanguage"": ""bnc"", ""region"": ""Philippines, Asia"", ""alternate-names"": [""Bontoc"", ""Bontoc Igorot"", ""Central""]}"
lbl,Libon Bikol,left-to-right,"{""macrolanguage"": ""bik"", ""region"": ""Philippines, Asia"", ""alternate-names"": [""Libonge\u00f1o""]}"
lbm,Lodhi,left-to-right,"{""region"": ""India, Asia"", ""alternate-names"": [""Lodha"", ""Lodi"", ""Lohi"", ""Lozi""]}"
lbn,Rmeet,left-to-right,"{""region"": ""Lao People's Democratic Republic, Asia"", ""alternate-names"": [""Kha Lamet"", ""Khamed"", ""Lemet"", ""Rmeet"", ""Kamet""]}"
lbo,Laven,left-to-right,"{""region"": ""Lao People's Democratic Republic, Asia"", ""alternate-names"": [""Boloven"", ""Boriwen"", ""Jaru"", ""Jru'"", ""Jruq"", ""Laweenjru"", ""Loven""]}"
lbq,Wampar,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Laewamba"", ""Laewomba"", ""Laiwomba""]}"
lbr,Lohorung,left-to-right,"{""region"": ""Nepal, Asia"", ""alternate-names"": [""Lohorong"", ""Lohrung"", ""Lohrung Khanawa"", ""Lorung"", ""Northern Lorung"", ""Biksit (Bikshi)""]}"
lbs,Libyan Sign Language,left-to-right,"{""region"": ""Libya, Africa""}"
