language_code,language_name,script_direction,metadata
aa,Afar,left-to-right,"{""region"": ""Ethiopia, Africa"", ""alternate-names"": [""Afaraf"", ""Danakil"", ""Denkel"", ""Adal"", ""Afar Af"", ""Qafar"", ""Baadu (Ba'adu)""]}"
ab,Abkhazian,left-to-right,"{""suppress-script"": ""Cyrl"", ""region"": ""Georgia, Asia"", ""alternate-names"": [""Abxazo""]}"
ae,Avestan,,{}
af,Afrikaans,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""South Africa, Africa"", ""alternate-names"": [""Cape Afrikaans (West Cape Afrikaans)""]}"
ak,Akan,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Ghana, Africa"", ""alternate-names"": [""Ashante Twi"", ""Bono"", ""Dankyira"", ""Fante (Fanti)"", ""Gomua"", ""Kwawu (Kwahu)"", ""Asen"", ""Twi"", ""Akyem (Akyem Bosome)"", ""Mfantse"", ""Asanti"", ""Anomabo Fanti"", ""Akwapi"", ""Akwapem Twi"", ""Akuapem (Akuapim)"", ""Ahafo"", ""Agona"", ""Abura Fanti"", ""Asante (Achanti)""]}"
am,Amharic,left-to-right,"{""suppress-script"": ""Ethi"", ""region"": ""Ethiopia, Africa"", ""alternate-names"": [""Abyssinian"", ""Amarigna"", ""Amarinya"", ""Amhara"", ""Ethiopian"", ""Falasha""], ""is-gateway-language"": true}"
an,Aragonese,left-to-right,"{""region"": ""Spain, Europe"", ""alternate-names"": [""Altoaragon\u00e9s"", ""Aragoieraz"", ""Aragon\u00e9s"", ""Fabla Aragonesa"", ""High Aragonese"", ""Patu\u00e9s"", ""Grausino"", ""Western Aragonese (Ansotano)"", ""Tensino"", ""Southern Aragonese (Ayerbense)"", ""Semontan\u00e9s"", ""Pandicuto"", ""Eastern Aragonese (Benasqu\u00e9s)"", ""Chistabino"", ""Cheso"", ""Central Aragonese (Belset\u00e1n)"", ""Bergot\u00e9s"", ""Fobano""]}"
ar,Arabic,right-to-left,"{""suppress-script"": ""Arab"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Saudi Arabia, Asia"", ""is-gateway-language"": true}"
as,Assamese,left-to-right,"{""suppress-script"": ""Beng"", ""region"": ""India, Asia"", ""alternate-names"": [""Asambe"", ""Asami"", ""Asamiya"", ""Jharwa (Pidgin)"", ""Standard Assamese"", ""Western Assamese (Kamrupi)""], ""is-gateway-language"": true}"
av,Avaric,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Avaro"", ""Dagestani"", ""Bolmac"", ""Khundzuri"", ""Maarul Dagestani"", ""Qusur"", ""South-East Avar (Andalal)"", ""South-West Avar (Batlukh)"", ""Unkratl"", ""North Avar (Andian Avar)"", ""Zaqatala (Char)"", ""Khunzakh"", ""Zaqatal (Char)"", ""Andalal Shulanin"", ""Karakh"", ""Hid Keleb"", ""Hid Kaxib"", ""Bolmats"", ""Antsukh (Ancux)"", ""Antsukh"", ""Andalal Untib"", ""Qarakh (Bacadin)""]}"
ay,Aymara,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Bolivia, Americas""}"
az,Azerbaijani,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Azerbaijan, Asia""}"
ba,Bashkir,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Basquort"", ""Burzhan (Western Bashkir)"", ""Kuvakan (Mountain Bashkir)"", ""Yurmaty (Steppe Bashkir)""]}"
be,Belarusian,left-to-right,"{""suppress-script"": ""Cyrl"", ""region"": ""Belarus, Europe"", ""alternate-names"": [""Belarusian"", ""Belorussian"", ""Bielorussian"", ""Byelorussian"", ""White Russian"", ""White Ruthenian"", ""Southwest Belarusan (Grodnen-Baranovich)"", ""Viteb-Mogilev"", ""Slutska-Mazyrski"", ""Northeast Belarusan (Polots)"", ""Slutsko-Mozyr"", ""Belarussian""]}"
bg,Bulgarian,left-to-right,"{""suppress-script"": ""Cyrl"", ""region"": ""Bulgaria, Europe"", ""alternate-names"": [""Balgarski"", ""Palitiani"", ""Palityan (Bogomil)"", ""Pomak (Pomakci)"", ""Pomakika""]}"
bh,Bihari languages,,"{""description"": ""This represents a collection of languages. Although a collection subtag can be used in the absence of a more specific tag, you should check whether a more specific language subtag is available. ""}"
bi,Bislama,left-to-right,"{""region"": ""Vanuatu, Pacific"", ""alternate-names"": [""Bichelamar""], ""is-gateway-language"": true}"
bm,Bambara,left-to-right,"{""region"": ""Mali, Africa"", ""alternate-names"": [""Bamako"", ""Bamana"", ""Bamanakan"", ""Wassulunke"", ""Wassulunka"", ""Wasulunkakan (Maninkakan)"", ""Ganadugu"", ""Eastern"", ""Wasuu"", ""Wassulu""]}"
bn,Bengali,left-to-right,"{""suppress-script"": ""Beng"", ""description"": ""Bangla"", ""region"": ""Bangladesh, Asia"", ""alternate-names"": [""Bangala"", ""Bangla-Bhasa"", ""Siripuria (Kishanganjia)"", ""Barisal"", ""Khulna"", ""Lohari-Malpaharia"", ""Mymensingh"", ""Noakhali""], ""is-gateway-language"": true}"
bo,Tibetan,left-to-right,"{""region"": ""China, Asia"", ""alternate-names"": [""Bhokha"", ""Byokha"", ""Dbusgtsang"", ""Phoke"", ""Tibetan"", ""U"", ""Wei"", ""Weizang"", ""Zang"", ""Bod"", ""Central Tibetan"", ""Pohbetian"", ""Poke"", ""Skad"", ""Tebilian"", ""Tibate"", ""Bod Skad"", ""Zang Wen"", ""Nganshuenkuan (Anshuenkuan Nyarong)"", ""Hanniu"", ""Utsang"", ""Tsang"", ""Panakha-Panags"", ""Mngahris (Ngari)"", ""Dru"", ""Aba (Batang)"", ""Diaspora Tibetan"", ""Gtsang (Lhasa)"", ""Deqing Zang"", ""Dartsemdo (Tatsienlu)"", ""Paurong""]}"
br,Breton,left-to-right,"{""region"": ""France, Europe"", ""alternate-names"": [""Brezhoneg"", ""Gwenedeg (Vannetais)"", ""Kerneveg (Cornouaillais)"", ""Leoneg (Leonais)"", ""Tregerieg (Tregorrois)""]}"
bs,Bosnian,left-to-right,"{""macrolanguage"": ""sh"", ""suppress-script"": ""Latn"", ""region"": ""Bosnia and Herzegovina, Europe"", ""alternate-names"": [""Ijekav\u00edan"", ""Ikavian""]}"
ca,Catalan,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""Valencian"", ""region"": ""Spain, Europe"", ""alternate-names"": [""Catal\u00e0"", ""Catalan-Valencian-Balear"", ""Catalonian"", ""Algherese Catalan"", ""Menorquin"", ""Insular Catalan"", ""Valenciano"", ""Valencian (Valenci\u00e0)"", ""Ribagor\u00e7an"", ""Pallarese"", ""Northwestern Catalan (Aiguavivan)"", ""Menorqui"", ""Lleidat\u00e0"", ""Eivissenc"", ""Central Catalan"", ""Catalan-Rousillonese (Northern Catal\u00e1n)"", ""Balearic (Balear)"", ""Mallorqui""]}"
ce,Chechen,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Galancho"", ""Nokchiin Muott"", ""Nokhchiin"", ""Akkin (Aux)"", ""Itumkala (Shatoi)""]}"
ch,Chamorro,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Guam, Pacific"", ""alternate-names"": [""Chamorru"", ""Tjamoro""]}"
co,Corsican,left-to-right,"{""region"": ""France, Europe"", ""alternate-names"": [""Corse"", ""Corsi"", ""Corso"", ""Corsu"", ""Cape Cors"", ""Northern Corsican (Bastia)"", ""Corsos""]}"
cr,Cree,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Canada, Americas""}"
cs,Czech,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Czechia, Czech Republic, Europe"", ""alternate-names"": [""Bohemian"", ""Cestina"", ""Lach (Yalach)""]}"
cu,Church Slavic,left-to-right,"{""description"": ""Church Slavonic. Old Bulgarian. Old Church Slavonic. Old Slavonic"", ""region"": ""Russian Federation, Europe""}"
cv,Chuvash,left-to-right,"{""region"": ""Russian Federation, Europe"", ""alternate-names"": [""Bulgar""]}"
cy,Welsh,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""United Kingdom, Europe"", ""alternate-names"": [""Cymraeg""]}"
da,Danish,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Denmark, Europe"", ""alternate-names"": [""D\u00e4nisch"", ""Dansk"", ""Rigsdansk"", ""Bornholmsk (Eastern Danish)"", ""S\u00f8nderjysk (Southern Jutlandic)""]}"
de,German,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Germany, Europe"", ""alternate-names"": [""Deutsch"", ""Tedesco"", ""K\u00e4rntnerisch"", ""Transylvanian""]}"
dv,Dhivehi,right-to-left,"{""suppress-script"": ""Thaa"", ""description"": ""Divehi. Maldivian"", ""region"": ""Maldives, Asia"", ""alternate-names"": [""Dhivehi Bas"", ""Divehi"", ""Mahl"", ""Malikh"", ""Malki"", ""Divehi Bas"", ""Divehli"", ""Mali"", ""Maliku Bas (Minicoy Dialect)"", ""Fuvah Mulaku"", ""Huvadu"", ""Mal\u00e9"", ""Maliku Bas""]}"
dz,Dzongkha,left-to-right,"{""suppress-script"": ""Tibt"", ""region"": ""Bhutan, Asia"", ""alternate-names"": [""Bhotia of Bhutan"", ""Bhotia of Dukpa"", ""Bhutanese"", ""Drukha"", ""Drukke"", ""Dukpa"", ""Jonkha"", ""Rdzongkha"", ""Zongkhar"", ""Drukpa"", ""Hloka"", ""Lhoskad"", ""Wang-The (Thimphu-Punakha)""]}"
ee,Ewe,left-to-right,"{""region"": ""Ghana, Africa"", ""alternate-names"": [""Ebwe"", ""Efe"", ""Eibe"", ""Eue"", ""Eve"", ""Gbe"", ""Krepe"", ""Krepi"", ""Popo"", ""Vhe"", ""Ehwe"", ""Be"", ""Vlin"", ""Vo"", ""Togo"", ""Ho"", ""Gbin"", ""Aveno"", ""Anglo (Anlo)"", ""Adan"", ""Agu"", ""Awlan""]}"
el,Modern Greek (1453-),left-to-right,"{""suppress-script"": ""Grek"", ""region"": ""Greece, Europe"", ""alternate-names"": [""Ellinika"", ""Graecae"", ""Grec"", ""Greco"", ""Neo-Hellenic"", ""Romaic"", ""Griko"", ""Tavro-Rumeic"", ""Mariupol Greek (Crimeo-Rumeic)""]}"
en,English,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""United Kingdom, Europe"", ""alternate-names"": [""Anglit"", ""Kiingereza"", ""Gustavia English"", ""Saman\u00e1 English"", ""Saint Lucian English"", ""Noongar"", ""Noonga"", ""Newcastle Northumber"", ""Neo-Nyungar (Noogar)"", ""Glaswegian"", ""Brummy"", ""Birmingham (Brummie)"", ""Bay Islands English"", ""Australian Standard English"", ""Aboriginal English"", ""African American Vernacular English (AAVE)""], ""is-gateway-language"": true}"
eo,Esperanto,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Poland, Europe"", ""alternate-names"": [""Eo"", ""La Lingvo Internacia""]}"
es,Spanish,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""Castilian"", ""region"": ""Spain, Europe"", ""alternate-names"": [""Castilian"", ""Espa\u00f1ol"", ""Castillan"", ""Islenyo"", ""Afro-Yungue\u00f1o (Black Spanish)"", ""Silbo Gomero"", ""Rioplatense"", ""Portu\u00f1ol"", ""Portunhol"", ""Lunfardo"", ""Llanito (Yanito)"", ""Isleno (Isle\u00f1o)"", ""Chicano (Cal\u00f3)"", ""Canary Islands Spanish (Isle\u00f1o)"", ""Andaluz"", ""Andalusian (Andal\u00fa)"", ""American Spanish (Chicano)"", ""Andalus\u00ed""], ""is-gateway-language"": true}"
et,Estonian,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Estonia, Europe""}"
eu,Basque,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Spain, Europe"", ""alternate-names"": [""Euskara"", ""Euskera"", ""Vascuense"", ""Roncalese"", ""Navarro-Labourdin (Bajo Navarro Occidental)"", ""Xiberoera"", ""Western Low Navarrese"", ""Upper Navarran"", ""Suletino"", ""Souletin (Souletino)"", ""Zuberoera"", ""Labourdin"", ""Alto Navarro Septentrional (High Navarrese)"", ""Guipuzcoano"", ""Gipuzkera (Gipuzkoan)"", ""Eastern Low Navarrese"", ""Biscayan (Vizcaino)"", ""Benaffarera"", ""Bajo Navarro Oriental"", ""Lapurdiera"", ""Suberoan""]}"
fa,Persian,right-to-left,"{""suppress-script"": ""Arab"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Islamic Republic of Iran, Asia"", ""is-gateway-language"": true}"
ff,Fulah,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Senegal, Africa""}"
fi,Finnish,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Finland, Europe"", ""alternate-names"": [""Suomi"", ""Finska"", ""H\u00e4me (Tavast)"", ""Finnish Karjala"", ""Savo (Savolax)"", ""Southeastern Finnish (Finnish Karelian)""]}"
fj,Fijian,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Fiji, Pacific"", ""alternate-names"": [""Eastern Fijian"", ""Fiji"", ""Standard Fijian"", ""Northeast Vanua Levu (Dogotuki Saqani)"", ""Tavuki"", ""Tokaimalo"", ""Southeast Vanua Levu (Baumaa)"", ""Seaqaaqaa"", ""Savusavu"", ""Ono"", ""Northeast Viti Levu (Lovoni)"", ""Namena"", ""Nabalebale"", ""Mbau"", ""Labasa"", ""Korolau"", ""Kadavu (Nabukelevu)"", ""Bau (Bauan)"", ""Central Vanua Levu (Baaravi)"", ""Nav""]}"
fo,Faroese,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Denmark, Europe"", ""alternate-names"": [""F\u00f8royskt""]}"
fr,French,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""France, Europe"", ""alternate-names"": [""Fran\u00e7ais"", ""Franc\u00e9s"", ""Qu\u00e9b\u00e9cois"", ""Sous le Vent (Saint Barth\u00e9lemy Patois)"", ""Shippagan"", ""Serquiais"", ""Saintongeais"", ""Norman (Normand)"", ""Jurassien"", ""J\u00e8rriais"", ""Franco-Terreneuvien"", ""Acadian (Acadien)"", ""Franche-Comtois (Fribourgois)""], ""is-gateway-language"": true}"
fy,Western Frisian,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Netherlands, Europe"", ""alternate-names"": [""Fries"", ""Frysk"", ""Westerlauwers Fries"", ""Klaaifrysk"", ""S\u00fadhoeksk"", ""W\u00e2ldfrysk""]}"
ga,Irish,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Ireland, Europe"", ""alternate-names"": [""Erse"", ""Gaeilge"", ""Gaelic Irish"", ""Donegal (Northern Irish)"", ""Munster-Leinster (Southern Irish)"", ""Connacht (Western Irish)""]}"
gd,Scottish Gaelic,left-to-right,"{""description"": ""Gaelic"", ""region"": ""United Kingdom, Europe"", ""alternate-names"": [""Gaelic"", ""G\u00e0idhlig"", ""Scots Gaelic""]}"
gl,Galician,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Spain, Europe"", ""alternate-names"": [""Galego"", ""Gallego"", ""Rionorese (Rionor\u00eas)"", ""Guadramilese (Guadramil\u00eas)""]}"
gn,Guarani,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Paraguay, Americas""}"
gu,Gujarati,left-to-right,"{""suppress-script"": ""Gujr"", ""region"": ""India, Asia"", ""alternate-names"": [""Gujerathi"", ""Gujerati"", ""Gujrathi"", ""Kathiyawadi (Bhawnagari)"", ""Standard Gujarati (Mumbai Gujarati)"", ""Sorathi"", ""Patidari"", ""Patani"", ""Gamadia (Ahmedabad Gamadia)"", ""Naga"", ""Surati"", ""Vadodari"", ""Holadi"", ""Gohilwadi"", ""Eastern Broach Gujarati"", ""Charotari"", ""Brathela"", ""Anawla"", ""Jhalawadi"", ""Gramya""], ""is-gateway-language"": true}"
gv,Manx,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Isle of Man, Europe"", ""alternate-names"": [""Gaelg"", ""Gailck"", ""Manx Gaelic""]}"
ha,Hausa,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Haoussa"", ""Hawsa"", ""Hausawa"", ""Haussa"", ""Abakwariga"", ""Habe"", ""Kado"", ""Mgbakpa""], ""is-gateway-language"": true}"
he,Hebrew,right-to-left,"{""suppress-script"": ""Hebr"", ""region"": ""Israel, Asia"", ""alternate-names"": [""Israeli"", ""Ivrit"", ""General Israeli"", ""Oriental Hebrew (Arabized Hebrew)"", ""Standard Hebrew (Europeanized Hebrew)"", ""Yemenite Hebrew""]}"
hi,Hindi,left-to-right,"{""suppress-script"": ""Deva"", ""region"": ""India, Asia"", ""alternate-names"": [""Khadi Boli"", ""Khari Boli"", ""Dakhini"", ""Hindi-Urdu"", ""Khariboli""], ""is-gateway-language"": true}"
ho,Hiri Motu,left-to-right,"{""region"": ""Papua New Guinea, Pacific"", ""alternate-names"": [""Hiri"", ""Pidgin Motu"", ""Police Motu""]}"
hr,Croatian,left-to-right,"{""macrolanguage"": ""sh"", ""suppress-script"": ""Latn"", ""region"": ""Croatia, Europe"", ""alternate-names"": [""Hrvatski"", ""Molise Croatian"", ""Shtokavski (Ijekavski)"", ""Serbian""]}"
ht,Haitian,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""Haitian Creole"", ""region"": ""Haiti, Americas"", ""alternate-names"": [""Creole"", ""Haitian Creole""]}"
hu,Hungarian,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Hungary, Europe"", ""alternate-names"": [""Magyar"", ""Southern Transdanubian"", ""Central Transdanubian"", ""Western Transdanubian"", ""Tisza\u2013K\u00f6r\u00f6s"", ""Sz\u00e9kely"", ""Pal\u00f3c"", ""North-eastern Hungarian"", ""Mezos\u00e9gi"", ""Cs\u00e1ng\u00f3"", ""Southern Great Plains""]}"
hy,Armenian,left-to-right,"{""suppress-script"": ""Armn"", ""description"": ""see also hyw"", ""region"": ""Armenia, Asia"", ""alternate-names"": [""Armjanski Yazyk"", ""Ena"", ""Ermeni Dili"", ""Ermenice"", ""Somkhuri"", ""Armjanski"", ""Haieren"", ""Armani"", ""Er\u00e2mani"", ""Somekhuri"", ""Armanski"", ""Erevan (Eriwan)"", ""Konstantinopel"", ""Khoi-Salmst (Khvoy)"", ""Kari"", ""Jolf\u00e2 (Dzhulfa)"", ""Hamshen (Hamschen)"", ""Ewdokia (Tokat)"", ""Crimea (Krim)"", ""Dschulfa"", ""Ararat"", ""Constantinople (Istanbul)"", ""Astrakhan (Astrachan)"", ""Astrakh\u00e2n"", ""Artvin (Artwin)"", ""Dzhulfa (Dschugha)""]}"
hz,Herero,left-to-right,"{""region"": ""Namibia, Africa"", ""alternate-names"": [""Ochiherero"", ""Otjiherero""]}"
ia,"Interlingua (International Auxiliary Language  Association)
",left-to-right,"{""region"": ""Italy, Europe""}"
id,Indonesian,left-to-right,"{""macrolanguage"": ""ms"", ""suppress-script"": ""Latn"", ""region"": ""Indonesia, Asia"", ""is-gateway-language"": true}"
ie,Interlingue,left-to-right,"{""description"": ""Occidental""}"
ig,Igbo,left-to-right,"{""region"": ""Nigeria, Africa"", ""alternate-names"": [""Ibo"", ""Oka (Awka)"", ""Owerri (Isuama)""]}"
ii,Sichuan Yi,left-to-right,"{""description"": ""Nuosu"", ""region"": ""China, Asia"", ""alternate-names"": [""Black Yi"", ""Liangshan Yi"", ""Northern Yi"", ""Nosu Yi"", ""Sichuan Yi"", ""Northern Shypnra"", ""Southern Shypnra"", ""Suondi (Adu)""]}"
ik,Inupiaq,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""United States, Americas""}"
in,Indonesian,,"{""use-instead"": ""id"", ""macrolanguage"": ""ms"", ""suppress-script"": ""Latn"", ""description"": ""Deprecated from 1989-01-01. ""}"
io,Ido,left-to-right,{}
is,Icelandic,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Iceland, Europe"", ""alternate-names"": [""\u00cdslenska""]}"
it,Italian,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Italy, Europe"", ""alternate-names"": [""Italiano""]}"
iu,Inuktitut,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Canada, Americas""}"
iw,Hebrew,,"{""use-instead"": ""he"", ""suppress-script"": ""Hebr"", ""description"": ""Deprecated from 1989-01-01. ""}"
ja,Japanese,left-to-right,"{""suppress-script"": ""Jpan"", ""region"": ""Japan, Asia"", ""alternate-names"": [""Zu-zu-ben""]}"
ji,Yiddish,,"{""use-instead"": ""yi"", ""description"": ""Deprecated from 1989-01-01. ""}"
jv,Javanese,left-to-right,"{""region"": ""Indonesia, Asia"", ""alternate-names"": [""Djawa"", ""Cirebon (Cheribon)"", ""Tjirebon"", ""Surakarta (Sawlaw)"", ""Surabaya"", ""Solo""]}"
jw,Javanese,,"{""use-instead"": ""jv"", ""description"": ""Deprecated from 2001-08-13. published by error in Table 1 of ISO 639:1988""}"
ka,Georgian,left-to-right,"{""suppress-script"": ""Geor"", ""region"": ""Georgia, Asia"", ""alternate-names"": [""Common Kartvelian"", ""Gruzinski"", ""Kartuli"", ""Gruzin"", ""Adzhar (Acharian)"", ""Fereydan (Ferejdan)"", ""Kaxetian (Kakhetian)"", ""Moxev (Mokhev)"", ""Racha-Lexchxum (Lechkhum)"", ""Xevsur (Kheysur)""]}"
kg,Kongo,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""The Democratic Republic of the Congo, Africa""}"
ki,Kikuyu,left-to-right,"{""description"": ""Gikuyu"", ""region"": ""Kenya, Africa"", ""alternate-names"": [""Gekoyo"", ""Gigikuyu"", ""Gichugu (Northern Kirinyaga)"", ""Southern Murang'a"", ""Southern Gikuyu (Kiambu)"", ""Nyeri"", ""Mathira (Karatina)"", ""Ndia (Southern Kirinyaga)"", ""Northern Gikuyu (Northern Murang'a)""]}"
kj,Kuanyama,left-to-right,"{""description"": ""Kwanyama"", ""region"": ""Angola, Africa"", ""alternate-names"": [""Cuanhama"", ""Humba"", ""Kuanjama"", ""Kwancama"", ""Kwanjama"", ""Ochikwanyama"", ""Oshikuanjama"", ""Oshikwanyama"", ""Oshiwambo Ndonga"", ""Ovambo"", ""Oxikuanyama"", ""Kuanyama"", ""Otjiwambo"", ""Owambo""]}"
kk,Kazakh,left-to-right,"{""suppress-script"": ""Cyrl"", ""region"": ""Kazakhstan, Asia"", ""alternate-names"": [""Hazake"", ""Kazax"", ""Gazaqi"", ""Kazakhi"", ""Kaisak"", ""Kosach"", ""Qazaq"", ""Qazaqi""]}"
kl,Kalaallisut,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""Greenlandic"", ""region"": ""Greenland, Americas"", ""alternate-names"": [""Greenlandic"", ""Inuktitut"", ""Kalaallisut"", ""\""Polar Eskimo\"""", ""Iniktun (Inuktun)"", ""North Greenlandic"", ""Thule Inuit""]}"
km,Khmer,left-to-right,"{""suppress-script"": ""Khmr"", ""description"": ""Central Khmer"", ""region"": ""Cambodia, Asia"", ""alternate-names"": [""Cambodian"", ""Cu Tho"", ""Cur Cul"", ""Khmer Nam Bo"", ""Kho Me"", ""Khome"", ""Krom"", ""Viet Goc Mien"", ""Battambang Khmer"", ""Cardamom Khmer"", ""Khmer Kandal (Central)"", ""Khmer Keh (Stung Treng)"", ""Khmer Krom (Southern)""], ""is-gateway-language"": true}"
kn,Kannada,left-to-right,"{""suppress-script"": ""Knda"", ""region"": ""India, Asia"", ""alternate-names"": [""Banglori"", ""Canarese"", ""Kanarese"", ""Madrassi"", ""Bellary"", ""Gulbarga"", ""Kumta"", ""Nanjangud""], ""is-gateway-language"": true}"
ko,Korean,left-to-right,"{""suppress-script"": ""Kore"", ""region"": ""Republic of Korea, Asia"", ""alternate-names"": [""Chaoxian"", ""Hanguohua"", ""Hanguk Mal"", ""Hanguk Uh"", ""Seoul (Kangwondo)"", ""South P'yong'ando"", ""South Kyongsangdo"", ""South Hamgyongdo"", ""South Chollado"", ""P'yong'ando (North P'yong'ando)"", ""Kyongsangdo (North Kyongsangdo)"", ""Kyonggido"", ""Hamgyongdo (North Hamgyongdo)"", ""Ch'ungch'ongdo (North Ch'ungch'ong)"", ""Chollado (North Chollado)"", ""South Ch'ungch'ong"", ""Hangeul""]}"
kr,Kanuri,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Nigeria, Africa""}"
ks,Kashmiri,,{}
ku,Kurdish,right-to-left,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Islamic Republic of Iran, Asia""}"
kv,Komi,left-to-right,"{""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Russian Federation, Europe""}"
kw,Cornish,left-to-right,"{""region"": ""United Kingdom, Europe"", ""alternate-names"": [""Curnoack"", ""Kernewek"", ""Kernowek""]}"
ky,Kirghiz,left-to-right,"{""description"": ""Kyrgyz"", ""region"": ""Kyrgyzstan, Asia"", ""alternate-names"": [""Kara"", ""Ke'erkez"", ""Kirgiz"", ""Kara-Kirgiz"", ""Southern Kyrgyz"", ""Northern Kyrgyz"", ""Kirghizi""]}"
la,Latin,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Holy See (Vatican City State), Europe"", ""alternate-names"": [""Latina""]}"
lb,Luxembourgish,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""Letzeburgesch"", ""region"": ""Luxembourg, Europe"", ""alternate-names"": [""Letzburgisch"", ""L\u00ebtzebuergesch"", ""Luxemburgian"", ""Moselle Franconian"", ""Frankish"", ""Platt"", ""Luxembourgish"", ""Luxemburgish""]}"
lg,Ganda,left-to-right,"{""description"": ""Luganda"", ""region"": ""Uganda, Africa"", ""alternate-names"": [""Diopa (Ludiopa)"", ""Kooki (Olukooki)"", ""Sese (Olusese)"", ""Vuma (Luvuma)""]}"
li,Limburgan,left-to-right,"{""description"": ""Limburger. Limburgish"", ""region"": ""Netherlands, Europe"", ""alternate-names"": [""Limberger"", ""Limburgan"", ""Limburgian"", ""Limburgic"", ""Limburgs"", ""Limburgs Plat""]}"
ln,Lingala,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Ngala""]}"
lo,Lao,left-to-right,"{""suppress-script"": ""Laoo"", ""region"": ""Lao People's Democratic Republic, Asia"", ""alternate-names"": [""Eastern Thai"", ""L\u00e0o"", ""Lao Kao"", ""Lao Wiang"", ""Lao-Lum"", ""Lao-Noi"", ""Lao-Tai"", ""Laotian"", ""Laotian Tai"", ""Lum Lao"", ""Phou Lao"", ""Rong Kong"", ""Tai Lao"", ""Savannakhet (Suwannakhet)"", ""Vientiane (Wiang Jan)""], ""is-gateway-language"": true}"
lt,Lithuanian,left-to-right,"{""suppress-script"": ""Latn"", ""region"": ""Lithuania, Europe"", ""alternate-names"": [""Lietuvi"", ""Lietuviskai"", ""Litauische"", ""Litewski"", ""Litovskiy"", ""Aukstaitiskai"", ""Zhemaitish"", ""Zemaitiskai"", ""Zemaitis"", ""Zemachiai"", ""Shamaitish (Lowland Lithuanian)"", ""Samogitian"", ""Dzukish (Dzukiskai)"", ""Aukshtaitish (Aukshtaichiai)"", ""Highland Lithuanian""]}"
lu,Luba-Katanga,left-to-right,"{""region"": ""The Democratic Republic of the Congo, Africa"", ""alternate-names"": [""Kiluba"", ""Luba-Shaba""]}"
lv,Latvian,left-to-right,"{""suppress-script"": ""Latn"", ""description"": ""This represents a marco language. A more specific tag might be available. "", ""region"": ""Latvia, Europe""}"
